country,str,LatLong_raw3,Lat,Long,Freq
Taitung ,"Taitung City  GJai GJong,Taidong,Taitung,Tchaj-tung,Táidong,tai dong,Ðài Ðông,<U+53F0><U+6771>22.7583121.1444","aitung City  GJai GJong,Taidong,Taitung,Tchaj-tung,Táidong,tai dong,Ðài Ðông,<U+53F0><U+6771>22.7583121.1444",,,2
Tongapatu Group,"Mexico  Bek-se-ko,Be<U+030D>k-se-ko,Estados Unidos Mexicanos,IMekisikho,IMekisiko,Maegsaego,Maexikaen,Makasiko,Maxi...23.0-102.0",23.0-102.0,,,2
Torres Strait ,Torres  -10.57928442333755142.2205924987793,orres  -10.57928442333755142.2205924987793,,,2
Valencia,"Valencia  Municipio de Valencia,Valencia8.233498-76.214283","alencia  Municipio de Valencia,Valencia8.233498-76.214283",,,2
Venice Province,"Venice  Benatky,Benetia,Benetke,Benezia,Benátky,Feneyjar,V'nise,VCE,Velence,Venecia,Venecia - Venezia,Veneci...45.437134214790412.332650434521076",45.437134214790412.3326504345,,,2
Veracruz ,"Veracruz  Estado Libre y Soberano de Veracruz de Ignacio de la Llave,Estado de Veracruz,Estado de Veracruz-Lla...19.3333333-96.6666667",19.3333333-96.6666667,,,2
Victoria ,"Victoria  Biktoria,Fiktoria,Gorad Viktoryja,Mahe,Mahé,Port Victoria,Victoria,Victoria pa Seychellane,Victoria ...-4.6200155.45501",-4.6200155.45501,,,2
Villa Clara Province,"Villa Canales  Villa Anales,Villa Canales14.482848-90.534251","illa Canales  Villa Anales,Villa Canales14.482848-90.534251",,,2
Wakayama Prefecture,"WakayamaVakajama,Wakayama,Wakayama-shi,Wakayamashi,he ge shan,he ge shan shi,wakayama,wakayamashi,<U+0412><U+0430><U+043A><U+0430><U+044F><U+043C><U+0430>,<U+308F><U+304B>...34.233333135.166667",34.233333135.166667,,,2
Washington,WashingtonWashington38.9667772-77.041366,ashingtonWashington38.9667772-77.041366,,,2
West End,"West  Far West,Western United States51.52603957655882-131.1607270082519","est  Far West,Western United States51.52603957655882-131.1607270082519",,,2
Western Area ,"Western Asia  Asia Occidental,Asia occidentale,Asie de l'Ouest,Sudoeste Asiatico,Sudoeste Asiático,Vorderasien,Wes...25.83944940206318543.2421875",25.83944940206318543.24,,,2
 Kikori River mouth,Sarou7.91.1666667,arou7.91.1666667,,,1
 La Libertad,Sarou7.91.1666667,arou7.91.1666667,,,1
 Lau Province,Sarou7.91.1666667,arou7.91.1666667,,,1
 Loyalty Islands,Sarou7.91.1666667,arou7.91.1666667,,,1
 Manila Bay,Sarou7.91.1666667,arou7.91.1666667,,,1
 New Jersey,Sarou7.91.1666667,arou7.91.1666667,,,1
 North Carolina,Sarou7.91.1666667,arou7.91.1666667,,,1
 Nusa Tenggara,Sarou7.91.1666667,arou7.91.1666667,,,1
 Upolu Island,Sarou7.91.1666667,arou7.91.1666667,,,1
"""Head of the Gulf""",Circular Head Council  Circular Head Council-41.019914627075195145.0836639404297,ircular Head Council  Circular Head Council-41.019914627075195145.0836639404297,,,1
(Southwestern Pacific),"Southwestern Region  Jugozapaden region,Rajoni jugperendimor,Rajoni jugperëndimor,Southwestern Statistical Region,<U+0408><U+0443><U+0433><U+043E><U+0437><U+0430><U+043F>...41.273220.948213",41.273220.948213,,,1
04.05N-13.23W,"Mexico  Bek-se-ko,Be<U+030D>k-se-ko,Estados Unidos Mexicanos,IMekisikho,IMekisiko,Maegsaego,Maexikaen,Makasiko,Maxi...23.0-102.0",23.0-102.0,,,1
"1,000 miles east of Hawaii",,,,,1
"10ºS, 142ºE",,,,,1
12 miles off the north coast,"Paris 12 Reuilly  12e Arrondissement,12eme Arr,12eme arrondissement,12ème Arr,12ème arrondissement,Arrondissement de R...48.84122.3876",48.84122.3876,,,1
150 miles offshore,"EbayeEpja,Epja,Ibae8.77478769005341167.7391880750656","bayeEpja,Epja,Ibae8.77478769005341167.7391880750656",,,1
165  miles from Bermuda,"Kostel  Kostel,Obcina Kostel,Obcina Kostel45.48944414.871111","ostel  Kostel,Obcina Kostel,Obcina Kostel45.48944414.871111",,,1
180 miles southeast of Okinawa,Likiep9.82510988668808169.310646057129,ikiep9.82510988668808169.310646057129,,,1
18S / 50E,D'Or Punta Del Mar (Over 18'S Only )39.520200522.484429896,'Or Punta Del Mar (Over 18'S Only )39.520200522.484429896,,,1
"19S, 178?E",,,,,1
"2 to 3 miles off Taboguilla Island, Pacific Ocean","Le Lamentin  Lamentin,Le Lamanten,Le Lamenten,Le Lamentin,Le-Lamanten,lw lmwntn,<U+039B>e <U+039B>aµe<U+03BD>t<U+03AD><U+03BD>,<U+041B><U+0435> <U+041B><U+0430><U+043C><U+0430><U+043D><U+0442><U+0435><U+043D>,<U+041B><U+0435>-<U+041B><U+0430><U+043C><U+0430><U+043D><U+0442>...14.613412-60.999643",14.613412-60.999643,,,1
200 nm southeast of Manila,"Kopavogur  Gorad Koupavagur,Kopavog,Kopavogi,Kopavogs,Kopavogsbaer,Kopavogskaupstadur,Kopavogur,Kopavonkour,Kou...64.11233546338572-21.91298246383667",64.11233546338572-21.91298,,,1
25 km off the coast of Iran & 483km from mouth of Persian Gulf,"Erdenet  Ehrdehneht,Ehrdehneht khot,Erdenet,Erdenetas,Gorad Ehrdehneht,ardenaita,ardnt,e er deng te,eleudenet...49.0333333104.0833333",49.0333333104.0833333,,,1
"250 miles southwest of O'ahu, Hawaii",Kingman Reef  6.38354-162.37537,ingman Reef  6.38354-162.37537,,,1
30 nm from Singapore,"Gulu  Gul,Gulu,Nkoulou,ULU,gu lu,gullu,gulu,gwlw,G<U+03BA><U+03BF><U+03C5><U+03BB><U+03BF><U+03CD>,<U+0413><U+0443><U+043B>,<U+0413><U+0443><U+043B><U+0443>,<U+05D2><U+05D5><U+05DC><U+05D5>,<U+06AF><U+0648><U+0644><U+0648>,<U+10D2><U+10E3><U+10DA><U+10E3>,<U+53E4><U+76E7>,<U+AD74><U+B8E8>2.77456932.29899","ulu  Gul,Gulu,Nkoulou,ULU,gu lu,gullu,gulu,gwlw,G<U+03BA><U+03BF><U+03C5><U+03BB><U+03BF><U+03CD>,<U+0413><U+0443><U+043B>,<U+0413><U+0443><U+043B><U+0443>,<U+05D2><U+05D5><U+05DC><U+05D5>,<U+06AF><U+0648><U+0644><U+0648>,<U+10D2><U+10E3><U+10DA><U+10E3>,<U+53E4><U+76E7>,<U+AD74><U+B8E8>2.77456932.29899",,,1
300 miles east of Luzon,"Coast Province  Coast,Coast Province,Coast Region-3.039.5","oast Province  Coast,Coast Province,Coast Region-3.039.5",,,1
300 miles east of Mauritius,"Coast Province  Coast,Coast Province,Coast Region-3.039.5","oast Province  Coast,Coast Province,Coast Region-3.039.5",,,1
300 miles east of St. Thomas (Virgin Islands),"Coast Province  Coast,Coast Province,Coast Region-3.039.5","oast Province  Coast,Coast Province,Coast Region-3.039.5",,,1
300 miles from Antigua,"Coast Province  Coast,Coast Province,Coast Region-3.039.5","oast Province  Coast,Coast Province,Coast Region-3.039.5",,,1
330 to 350 miles east of Wake Island,"NamdrikNamdik,Namorik,Nam¸dik5.59943570874847168.102815151215","amdrikNamdik,Namorik,Nam¸dik5.59943570874847168.102815151215",,,1
"33N, 68W","Delaware Airpark  33N,Delaware Airpark,Delaware Airport39.2176415-75.5959794","elaware Airpark  33N,Delaware Airpark,Delaware Airport39.2176415-75.5959794",,,1
35º39 : 165º8',"Mexico  Bek-se-ko,Be<U+030D>k-se-ko,Estados Unidos Mexicanos,IMekisikho,IMekisiko,Maegsaego,Maexikaen,Makasiko,Maxi...23.0-102.0",23.0-102.0,,,1
40 miles off Grand Bahama Island,"Boumerdas  Bou-Merdes,Boumerdas,Bumerdes,Cite de Boumerdes,Cité de Boumerdes,Le Rocher Noir,Roche Noire,Rocher ...36.766392044547853.4771728515625",36.766392044547853.4771728,,,1
40 miles south of Naples ,"Boumerdas  Bou-Merdes,Boumerdas,Bumerdes,Cite de Boumerdes,Cité de Boumerdes,Le Rocher Noir,Roche Noire,Rocher ...36.766392044547853.4771728515625",36.766392044547853.4771728,,,1
400 miles southeast of Sri Lanka,"Eastern  Aust-Kenya,Eastern,Eastern Province,OEstprovinsen,Ost-Kenya,Östprovinsen,Øst-Kenya0.038.0","astern  Aust-Kenya,Eastern,Eastern Province,OEstprovinsen,Ost-Kenya,Östprovinsen,Øst-Kenya0.038.0",,,1
5aint-Denis,"Mexico  Bek-se-ko,Be<U+030D>k-se-ko,Estados Unidos Mexicanos,IMekisikho,IMekisiko,Maegsaego,Maexikaen,Makasiko,Maxi...23.0-102.0",23.0-102.0,,,1
60 miles north of San Domingo in the West Indies,"Gardabya Airport  HLGD,SRX31.063499450716.5949993134","ardabya Airport  HLGD,SRX31.063499450716.5949993134",,,1
600 nm west of the Canary Islands,"Akureyri  AEY,Agireiri,Akirejri,Akjurejri,Akourefri,Akuereyri,Akureiris,Akurejri,Akureyrar,Akureyri,Aküreyri,G...65.6835305998405-18.0877983570099",65.6835305998405-18.0877983,,,1
740 miles SE of Tarawa Atoll,"Portsmouth  Portsmouth,Portsmut,bwrtsmwth,pocheumeoseu,potsumasu,pu ci mao si,pwrtsmwt,pwrtsmwth  wyrjynya,<U+041F><U+043E><U+0440><U+0442><U+0441>...36.8354258-76.2982742",36.8354258-76.2982742,,,1
800 miles from land,"Selfoss  Arborg,Gorad Sel'fas,Sel'foss,Selfos,Selfosas,Selfoss,Selfossi,sai er fu si,selaphasa,selposeu,seruf...63.933108-20.997117",63.933108-20.997117,,,1
9.35N 79.35W,"Mexico  Bek-se-ko,Be<U+030D>k-se-ko,Estados Unidos Mexicanos,IMekisikho,IMekisiko,Maegsaego,Maexikaen,Makasiko,Maxi...23.0-102.0",23.0-102.0,,,1
"Abau Subdistrict,Central Province",Abau Airport  ABW-10.17965148.70416,bau Airport  ABW-10.17965148.70416,,,1
Adana Province,"Adana  ADA,Adana,Adane,Adanë,Adhanah,Antiocheia,Edene,Gorad Adana,a da na,adana,adnt,xa da na,yadana,<U+0386>da<U+03BD>a,...37.001666735.3288889",37.001666735.3288889,,,1
Ahirkapi coast,"Ahirkapi Burnu  Ahirkapi Burnu,Ahirkapu Burnu,Ahirkapu Point,Ahirkapu Burnu,Ahirkapi Burnu,Seraglio Burnu,Seraglio H...41.00575128.985105",41.00575128.985105,,,1
Aichi Prefecture,"NagoyaNGO,Nagoia,Nagoja,Nagojo,Nagoya,Nagoya City,Nagoya-shi,ming gu wu,ming gu wu shi,na ngoa ya,naghwya,...35.1814727966958136.906409561634",35.1814727966958136.90640956163,,,1
Alaska,"Alaska  'Alaka,A-la-su-ka,AK,Alaeksa,Alakskak,Alaksu,Alasca,Alaschka,Alaska,Alaska suyu,Alasko,Alaszka,Alesk...64.0002778-150.0002778",64.0002778-150.0002778,,,1
Alicante Province,"Alicante  A-li-kham-thit,ALC,Akra Leuke,Alacant,Alakanto,Alicant,Alicante,Alicanti,Alikante,Alikante,Alíkante,...38.3451735357475-0.481488704681396",38.3451735357475-0.48148870,,,1
Alifu Alifu Atoll,Dhidhdhoo  Dhidhdhoo6.88744173.114022,hidhdhoo  Dhidhdhoo6.88744173.114022,,,1
Alpes Maritime,"Nice  Gorad Nica,NCE,Nica,Nicaea,Nicc,Nicca,Niccae,Nice,Nicea,Nico,Nikaia,Nis,Nisa,Nissa,Nissa Maritima,Ni...43.7031261041867.26608276367188",43.7031261041867.26608276367188,,,1
Altagracia Province,"Provincia de La Altagracia  La Altagracia,Provincia de La Altagracia18.5833333-68.6333333","rovincia de La Altagracia  La Altagracia,Provincia de La Altagracia18.5833333-68.6333333",,,1
Ambergris Caye,"Ambergris Cay  Cay Ambergris,Cayo Ambergris,San Pedro Island18.047623521149546-87.92289733886719","mbergris Cay  Cay Ambergris,Cayo Ambergris,San Pedro Island18.047623521149546-87.92289733886719",,,1
Amirante Islands,"Amirante RidgeAmirante Bank,Amirante Banks,Amirantes Bank-6.053.1666667","mirante RidgeAmirante Bank,Amirante Banks,Amirantes Bank-6.053.1666667",,,1
Anatolia,,,,,1
Ancona Province,"Ancona  AOI,Ancona,Ancone,Anconn-a,Ancône,Ankona,an ke na,ankona,<U+0410><U+043D><U+043A><U+043E><U+043D><U+0430>,<U+30A2><U+30F3><U+30B3><U+30FC><U+30CA>,<U+5B89><U+79D1><U+7EB3>43.5941992857827413.503370407651147","ncona  AOI,Ancona,Ancone,Anconn-a,Ancône,Ankona,an ke na,ankona,<U+0410><U+043D><U+043A><U+043E><U+043D><U+0430>,<U+30A2><U+30F3><U+30B3><U+30FC><U+30CA>,<U+5B89><U+79D1><U+7EB3>43.5941992857827413.503370407651147",,,1
Andalucia,"Andalusia  An Andaluis,An Andalúis,Andalosia,Andalosie,Andalousi,Andalousia,Andalousie,Andalouzia,Andalucia,And...37.6-4.5",37.6-4.5,,,1
Andaman Islands,"Port Blair  Gorad Port-Blehr,IXZ,Port Blair,Port Bler,Port Bleras,Port-Blehr,Port-Bler,Portus Blairensis,bu lai ...11.6661392.74635",11.6661392.74635,,,1
Andikira Fokithes,"Kólpos AntíkyrasAndikira Bay,Andikiron Kolpos,Andíkira Bay,Andíkiron Kólpos,Bay of Aspra Spitia,Gulf of Andikira,Gul...38.33333322.65",38.33333322.65,,,1
Anjouan,"Ndzuwani  Anjouan,Anjwan,Anjwan,Hanzwan,Hanzwan,Ile Autonome d'Anjouan,Ndzuwani,anjwan,hnzwan,Île Autonome d’A...-12.2544.416667",-12.2544.416667,,,1
Antalya Province,"Antalya  AYT,Adalia,Antal'ja,Antalia,Antalija,Antaliya,Antaliyah,Antalja,Antalya,Antayla,Antália,Atali,Attale...36.90811830.695565",36.90811830.695565,,,1
Antarctic Ocean,"Antarctic, The  Antarctic Continent,Antarctic  The,Yr Antarctig-90.00.0","ntarctic, The  Antarctic Continent,Antarctic  The,Yr Antarctig-90.00.0",,,1
Antibes,Antibes  43.5800000000000057.123055555555555,ntibes  43.5800000000000057.123055555555555,,,1
Antofagasta Province,"Antofagasta  ANF,Antafagasta,Antofagast,Antofagasta,Antuofagasta,an tuo fa jia si ta,antaphagasta,antofagasuta,an...-23.652357-70.395402",-94.047759,,,1
Antsiranana Province,"Antsiranana  Anceranana,Antseranana,Antsirana,Antsiranana,Antsirane,Antsiran¨ana,DIE,Diego Soarez,Diego-Suarez,Di...-12.3173249.29188",-12.3173249.29188,,,1
Apolima Strait,"Apolima Island  Apolima,Apolima Island-13.823768-172.15118","polima Island  Apolima,Apolima Island-13.823768-172.15118",,,1
Argyll,"Argyllshire  Argyll,Argyll County,County of Argyll56.25-5.25","rgyllshire  Argyll,Argyll County,County of Argyll56.25-5.25",,,1
Argyllshire,"Argyllshire  Argyll,Argyll County,County of Argyll56.25-5.25","rgyllshire  Argyll,Argyll County,County of Argyll56.25-5.25",,,1
Arran,"Arrans  Aran,Arran,Arrans,a er lang,<U+0410><U+0440><U+0430><U+043D>,<U+0410><U+0440><U+0440><U+0430><U+043D>,<U+963F><U+5C14><U+6717>47.695833333333334.318611111111111","rrans  Aran,Arran,Arrans,a er lang,<U+0410><U+0440><U+0430><U+043D>,<U+0410><U+0440><U+0440><U+0430><U+043D>,<U+963F><U+5C14><U+6717>47.695833333333334.318611111111111",,,1
Ascension Bay,"Georgetown  ASI,Corctaun,Dzhordzhtaun,Dzordztaun,Dzordztauna,Dzordztaunas,Džordžtauna,Džordžtaunas,Georgetown,Ge...-7.928611-14.411944",-22.340555,,,1
Atsumi peninsula,Atsumi-gun  Atsumi-gun34.63886137.29374,tsumi-gun  Atsumi-gun34.63886137.29374,,,1
Attica,"Attica  Attica,Attika,Attiki,Attique,atiki ju,<U+0391>tt<U+03B9><U+03BA><U+03AE>,<U+C544><U+D2F0><U+D0A4> <U+C8FC>37.920367835943523.9035034179688","ttica  Attica,Attika,Attiki,Attique,atiki ju,<U+0391>tt<U+03B9><U+03BA><U+03AE>,<U+C544><U+D2F0><U+D0A4> <U+C8FC>37.920367835943523.9035034179688",,,1
Aulong Island,"AulongEnglishmen's Beach,Rock Islands,Ulong Islands7.2782190032596134.286478757858","ulongEnglishmen's Beach,Rock Islands,Ulong Islands7.2782190032596134.286478757858",,,1
Ba Ria-Vung Tau  Province,"Europe  Avrupa,Chau Au,Châu Âu,Eiropa,El viejo continente,Eropa,Eurohpa,Eurohpá,Euroopa,Eurooppa,Europa,Euro...48.69096039092559.140625",48.69096039092559.140625,,,1
Baatan,"Banten  Bantam,Bantan,Banten,Bantena,Bantenas,Bantén,Pravincyja Bantehn,Propinsi Banten,Provinco Banteno,Pro...-6.5106.25",-6.5106.25,,,1
Baie de Sainte-Marie,"Baie-Mahault  Bai-Mao,Baie-Mahault,Baj Mao,La Baie Mahault,bay-maww,khlyj myw,<U+0411><U+0430><U+0457>-<U+041C><U+0430><U+043E>,<U+0411><U+0430><U+0458> <U+041C><U+0430><U+043E>,<U+0628><U+0627><U+064A>-<U+0645><U+0627><U+0624><U+0648>,<U+062E><U+0644><U+06CC><U+062C> <U+0645><U+0626><U+0648>16.267382-61.585431","aie-Mahault  Bai-Mao,Baie-Mahault,Baj Mao,La Baie Mahault,bay-maww,khlyj myw,<U+0411><U+0430><U+0457>-<U+041C><U+0430><U+043E>,<U+0411><U+0430><U+0458> <U+041C><U+0430><U+043E>,<U+0628><U+0627><U+064A>-<U+0645><U+0627><U+0624><U+0648>,<U+062E><U+0644><U+06CC><U+062C> <U+0645><U+0626><U+0648>16.267382-61.585431",,,1
Baja California Sur,"Baja California  BC,BCN,Baja California,Basse-Californie du Nord,Distrito Norte Baja California,Estado Libre y Sobera...30.0-115.0",30.0-115.0,,,1
Balearics,,,,,1
Balneário Camboriú,"Balneário CamboriúBalneario,Balneario Camboriu,Balneario Camboriú,Balneariu-Kamboriu,Balneário,Balneário Camboriú,Camb...-26.99055556-48.63472222",-75.62455556,,,1
Bandar Ma’shur sea inlet,"Bandar Seri Begawan  BWN,Banda Seri,Bandar Seri Begauan,Bandar Seri Begavan,Bandar Seri Begavanas,Bandar Seri Begawan,Ban...4.89035114.94006",4.89035114.94006,,,1
Bardestrand,"Mexico  Bek-se-ko,Be<U+030D>k-se-ko,Estados Unidos Mexicanos,IMekisikho,IMekisiko,Maegsaego,Maexikaen,Makasiko,Maxi...23.0-102.0",23.0-102.0,,,1
Barlavento Islands,"Barlavento Islands  Barlavento Islands,Ilhas do Barlavento16.583333-24.333333","arlavento Islands  Barlavento Islands,Ilhas do Barlavento16.583333-24.333333",,,1
Basrah City,"Basra  Al Basrah,Al Basrah,Al-Basra,BSR,Bacora,Basora,Basra,Basrah,Bassora,Bassorah,Bassra,Baçorá,Busra,Bus...30.5085247.7804",30.5085247.7804,,,1
Batanes Provine,Province of Batanes  Batanes20.457975121.994099,rovince of Batanes  Batanes20.457975121.994099,,,1
Batangas province,"BatangasBatangas,Batangas City,<U+0411><U+0430><U+0442><U+0430><U+043D><U+0433><U+0430><U+0441>13.7567121.0584","atangasBatangas,Batangas City,<U+0411><U+0430><U+0442><U+0430><U+043D><U+0433><U+0430><U+0441>13.7567121.0584",,,1
Bay Islands,"Montego Bay  Bahia Montego,Bahía Montego,MBJ,Mantica Bahia,Montego,Montego Bay,Montego Bejus,Montego Bejus,Monteg...18.47116-77.91883",18.47116-77.91883,,,1
Bay of Bengal,"Montego Bay  Bahia Montego,Bahía Montego,MBJ,Mantica Bahia,Montego,Montego Bay,Montego Bejus,Montego Bejus,Monteg...18.47116-77.91883",18.47116-77.91883,,,1
Bay of Biscay,"Montego Bay  Bahia Montego,Bahía Montego,MBJ,Mantica Bahia,Montego,Montego Bay,Montego Bejus,Montego Bejus,Monteg...18.47116-77.91883",18.47116-77.91883,,,1
Bay of Campeche,"Montego Bay  Bahia Montego,Bahía Montego,MBJ,Mantica Bahia,Montego,Montego Bay,Montego Bejus,Montego Bejus,Monteg...18.47116-77.91883",18.47116-77.91883,,,1
Bay of Fundy,"Montego Bay  Bahia Montego,Bahía Montego,MBJ,Mantica Bahia,Montego,Montego Bay,Montego Bejus,Montego Bejus,Monteg...18.47116-77.91883",18.47116-77.91883,,,1
Bay of Maputo,"Montego Bay  Bahia Montego,Bahía Montego,MBJ,Mantica Bahia,Montego,Montego Bay,Montego Bejus,Montego Bejus,Monteg...18.47116-77.91883",18.47116-77.91883,,,1
Bay of Maputu,"Montego Bay  Bahia Montego,Bahía Montego,MBJ,Mantica Bahia,Montego,Montego Bay,Montego Bejus,Montego Bejus,Monteg...18.47116-77.91883",18.47116-77.91883,,,1
Bay of Monaco,"Montego Bay  Bahia Montego,Bahía Montego,MBJ,Mantica Bahia,Montego,Montego Bay,Montego Bejus,Montego Bejus,Monteg...18.47116-77.91883",18.47116-77.91883,,,1
Bayelsa State,"Bayelsa State  Bayelsa,Bayelsa State4.756.0833333","ayelsa State  Bayelsa,Bayelsa State4.756.0833333",,,1
Beaufonds,"Mexico  Bek-se-ko,Be<U+030D>k-se-ko,Estados Unidos Mexicanos,IMekisikho,IMekisiko,Maegsaego,Maexikaen,Makasiko,Maxi...23.0-102.0",23.0-102.0,,,1
Bélep Islands,Bélep  -19.733333163.666667,élep  -19.733333163.666667,,,1
Bernardino Strait near Gulf of Leyte,"San Bernardino  Kaampu`u,SBD,SBT,San Bernandino,San Bernardino,San-Bernardino,saenbeoneodino,san byrnardynw  kalyfwr...34.1083449-117.2897652",34.1083449-117.289765,,,1
Between Australia & USA,Lac In Between47.27450708393-74.913497515954,ac In Between47.27450708393-74.913497515954,,,1
Between Beira & Maputo,Lac In Between47.27450708393-74.913497515954,ac In Between47.27450708393-74.913497515954,,,1
Between Comores & Madagascar,Lac In Between47.27450708393-74.913497515954,ac In Between47.27450708393-74.913497515954,,,1
Between DR and Puerto Rico,Lac In Between47.27450708393-74.913497515954,ac In Between47.27450708393-74.913497515954,,,1
Between England & South Africa,Lac In Between47.27450708393-74.913497515954,ac In Between47.27450708393-74.913497515954,,,1
"Between Hastings & Fairlight, Sussex",Lac In Between47.27450708393-74.913497515954,ac In Between47.27450708393-74.913497515954,,,1
Between Hawaii and U.S.A.,Lac In Between47.27450708393-74.913497515954,ac In Between47.27450708393-74.913497515954,,,1
Between Honiara & Isabel Island,Lac In Between47.27450708393-74.913497515954,ac In Between47.27450708393-74.913497515954,,,1
Between Kwajalein Atoll & Johnston Island,Lac In Between47.27450708393-74.913497515954,ac In Between47.27450708393-74.913497515954,,,1
Between New Ireland & New Britain,Lac In Between47.27450708393-74.913497515954,ac In Between47.27450708393-74.913497515954,,,1
Between Noumea & Sydney,Lac In Between47.27450708393-74.913497515954,ac In Between47.27450708393-74.913497515954,,,1
Between Perth & Colombo,Lac In Between47.27450708393-74.913497515954,ac In Between47.27450708393-74.913497515954,,,1
Between Somalia & Yemen,Lac In Between47.27450708393-74.913497515954,ac In Between47.27450708393-74.913497515954,,,1
Between Southampton & Canary Islands,Lac In Between47.27450708393-74.913497515954,ac In Between47.27450708393-74.913497515954,,,1
"Between Timor & Darwin, Australia",Lac In Between47.27450708393-74.913497515954,ac In Between47.27450708393-74.913497515954,,,1
Bikini Atoll,"Bikini Atoll  Atol Bikini,Atol de Bikini,Atoll Bikini,Atollo di Bikini,Atolon Bikini,Atolón Bikini,BII,Bigini,Biki...11.5833333165.3833333",11.5833333165.3833333,,,1
Bimini,"Bimini  BIM,Bimini,Bimini District,Biminis25.70444-79.28889","imini  BIM,Bimini,Bimini District,Biminis25.70444-79.28889",,,1
Bird Island,"V. C. Bird International Airport  ANU,Antigua Airport,Antigua Flygplats,Flughafen VC Bird International,Lapangan Terbang Antarabangsa ...17.136749-61.792667",17,,,1
Biserta,"Bissert  Beesert,Bisert,Bisser,Bissert,bi sai er,bysr,bysyrt,<U+0411><U+0438><U+0441><U+0435><U+0440><U+0442>,<U+0411><U+0438><U+0441><U+0441><U+0435><U+0440>,<U+0411><U+0456><U+0441><U+0441><U+0435><U+0440>,<U+0628><U+064A><U+0633><U+064A><U+0631><U+062A>,<U+0628><U+06CC><U+0633><U+0631>,<U+6BD4><U+585E><U+5C14>48.941944444444447.023611111111111","issert  Beesert,Bisert,Bisser,Bissert,bi sai er,bysr,bysyrt,<U+0411><U+0438><U+0441><U+0435><U+0440><U+0442>,<U+0411><U+0438><U+0441><U+0441><U+0435><U+0440>,<U+0411><U+0456><U+0441><U+0441><U+0435><U+0440>,<U+0628><U+064A><U+0633><U+064A><U+0631><U+062A>,<U+0628><U+06CC><U+0633><U+0631>,<U+6BD4><U+585E><U+5C14>48.941944444444447.023611111111111",,,1
Black River,"Black Sea Region  Karadeniz Bolgesi,Karadeniz Bölgesi41.25206436.960735","lack Sea Region  Karadeniz Bolgesi,Karadeniz Bölgesi41.25206436.960735",,,1
Boa Vista Island,"Boa Vista  BVB,Boa Vista,Boa Vista (Roraima),Boa Vista do Rio Branco,Boa Višta,Boa-Vista,<U+0411><U+043E><U+0430>-<U+0412><U+0438><U+0441><U+0442><U+0430>,<U+05D1><U+05D5><U+05D0><U+05D4> <U+05D5><U+05D9><U+05E1><U+05D8><U+05D4>2.819722222-60.67333333","oa Vista  BVB,Boa Vista,Boa Vista (Roraima),Boa Vista do Rio Branco,Boa Višta,Boa-Vista,<U+0411><U+043E><U+0430>-<U+0412><U+0438><U+0441><U+0442><U+0430>,<U+05D1><U+05D5><U+05D0><U+05D4> <U+05D5><U+05D9><U+05E1><U+05D8><U+05D4>2.819722222-60.67333333",,,1
Bocas,,,,,1
Bocas del Toro,"Provincia de Bocas del Toro  Bocas del Toro,Provincia de Bocas del Toro9.25-82.65","rovincia de Bocas del Toro  Bocas del Toro,Provincia de Bocas del Toro9.25-82.65",,,1
Bocas del Toro Province,"Provincia de Bocas del Toro  Bocas del Toro,Provincia de Bocas del Toro9.25-82.65","rovincia de Bocas del Toro  Bocas del Toro,Provincia de Bocas del Toro9.25-82.65",,,1
"Boi Island, Victoria",Sant Boi de LlobregatSant Boi de Llobregat41.34356682799742.03659057617188,ant Boi de LlobregatSant Boi de Llobregat41.34356682799742.03659057617188,,,1
Bois-Blanc ,"Rempart de Bois BlancRempart de Bois Blanc,Rempart du Bois-Blanc-21.21019355.773722","empart de Bois BlancRempart de Bois Blanc,Rempart du Bois-Blanc-21.21019355.773722",,,1
Bonin Islands,"Bonin TrenchBonin Trough,Bonin-Graben,Iduz-Boninskiy Zhelob,Izu-Bonin Trench,Ogasawara Trench24.206889622398143.6572265625","onin TrenchBonin Trough,Bonin-Graben,Iduz-Boninskiy Zhelob,Izu-Bonin Trench,Ogasawara Trench24.206889622398143.6572265625",,,1
Brindisi Province,"Brindisi  BDS,Brindisi,Brindizi,Brinnese,Brundisium,Brìndisi,brindisi,burindiji,<U+0411><U+0440><U+0438><U+043D><U+0434><U+0438><U+0437><U+0438>,<U+092C><U+094D><U+0930><U+093F><U+0902><U+0921><U+093F><U+0938><U+093F>,<U+30D6><U+30EA><U+30F3><U+30C7><U+30A3><U+30B8>40.63214535142691417.936065964306756","rindisi  BDS,Brindisi,Brindizi,Brinnese,Brundisium,Brìndisi,brindisi,burindiji,<U+0411><U+0440><U+0438><U+043D><U+0434><U+0438><U+0437><U+0438>,<U+092C><U+094D><U+0930><U+093F><U+0902><U+0921><U+093F><U+0938><U+093F>,<U+30D6><U+30EA><U+30F3><U+30C7><U+30A3><U+30B8>40.63214535142691417.93606596430675",,,1
British Colombia,"British West Indies  BWI,British West Indies18.0-68.0","ritish West Indies  BWI,British West Indies18.0-68.0",,,1
Brittany,"United Kingdom  Ahendiman Nkabom,An Riocht Aontaithe,An Rioghachd Aonaichte,An Rìoghachd Aonaichte,An Ríocht Aontait...54.75844423584778-2.6953116059303284",54.75844423584778-2.6,,,1
